date,new_count,returning_count,lapsed_count,reactivated_count,new_percent,returning_percent,lapsed_percent,reactivated_percent
01/01/2020,4,0,0,0,100%,0%,0%,0%
02/01/2020,2,5,0,0,29%,71%,0%,0%
03/01/2020,2,9,0,0,18%,82%,0%,0%
04/01/2020,2,12,0,0,14%,86%,0%,0%
05/01/2020,1,17,0,0,6%,94%,0%,0%
06/01/2020,0,24,0,0,0%,100%,0%,0%
07/01/2020,1,31,0,0,3%,97%,0%,0%
08/01/2020,3,37,0,0,8%,93%,0%,0%
09/01/2020,1,46,0,0,2%,98%,0%,0%
10/01/2020,1,54,0,0,2%,98%,0%,0%
11/01/2020,4,60,0,0,6%,94%,0%,0%
12/01/2020,2,66,0,0,3%,97%,0%,0%
13/01/2020,2,75,0,0,3%,97%,0%,0%
14/01/2020,2,86,0,0,2%,98%,0%,0%
15/01/2020,5,98,0,0,5%,95%,0%,0%
16/01/2020,2,106,0,0,2%,98%,0%,0%
17/01/2020,2,113,0,0,2%,98%,0%,0%
18/01/2020,3,125,0,0,2%,98%,0%,0%
19/01/2020,1,131,0,0,1%,99%,0%,0%
20/01/2020,5,145,0,0,3%,97%,0%,0%
21/01/2020,3,163,0,0,2%,98%,0%,0%
22/01/2020,1,172,0,0,1%,99%,0%,0%
23/01/2020,1,183,0,0,1%,99%,0%,0%
24/01/2020,6,196,0,0,3%,97%,0%,0%
25/01/2020,1,206,0,0,0%,100%,0%,0%
26/01/2020,1,212,0,0,0%,100%,0%,0%
27/01/2020,1,224,0,0,0%,100%,0%,0%
28/01/2020,1,231,0,0,0%,100%,0%,0%
29/01/2020,3,244,0,0,1%,99%,0%,0%
30/01/2020,1,255,0,0,0%,100%,0%,0%
31/01/2020,5,264,0,0,2%,98%,0%,0%
01/02/2020,1,277,0,0,0%,100%,0%,0%
02/02/2020,1,283,0,0,0%,100%,0%,0%
03/02/2020,1,288,0,0,0%,100%,0%,0%
04/02/2020,2,304,0,0,1%,99%,0%,0%
05/02/2020,1,314,0,0,0%,100%,0%,0%
06/02/2020,0,320,0,0,0%,100%,0%,0%
07/02/2020,3,335,0,0,1%,99%,0%,0%
08/02/2020,1,344,0,0,0%,100%,0%,0%
09/02/2020,2,348,0,0,1%,99%,0%,0%
10/02/2020,0,355,0,0,0%,100%,0%,0%
11/02/2020,2,362,0,0,1%,99%,0%,0%
12/02/2020,3,376,0,0,1%,99%,0%,0%
13/02/2020,8,394,0,0,2%,98%,0%,0%
14/02/2020,2,417,0,0,0%,100%,0%,0%
15/02/2020,0,427,0,0,0%,100%,0%,0%
16/02/2020,0,433,0,0,0%,100%,0%,0%
17/02/2020,3,448,0,0,1%,99%,0%,0%
18/02/2020,1,464,0,0,0%,100%,0%,0%
19/02/2020,1,475,0,0,0%,100%,0%,0%
20/02/2020,5,491,0,0,1%,99%,0%,0%
21/02/2020,4,505,0,0,1%,99%,0%,0%
22/02/2020,1,516,0,0,0%,100%,0%,0%
23/02/2020,5,522,0,0,1%,99%,0%,0%
24/02/2020,3,542,0,0,1%,99%,0%,0%
25/02/2020,2,560,0,0,0%,100%,0%,0%
26/02/2020,3,571,0,0,1%,99%,0%,0%
27/02/2020,0,587,0,0,0%,100%,0%,0%
28/02/2020,3,597,0,0,1%,100%,0%,0%
29/02/2020,2,611,0,0,0%,100%,0%,0%
01/03/2020,4,619,0,0,1%,99%,0%,0%
02/03/2020,0,634,0,0,0%,100%,0%,0%
03/03/2020,0,640,0,0,0%,100%,0%,0%
04/03/2020,0,651,0,0,0%,100%,0%,0%
05/03/2020,2,663,0,0,0%,100%,0%,0%
06/03/2020,1,678,0,0,0%,100%,0%,0%
07/03/2020,0,688,0,0,0%,100%,0%,0%
08/03/2020,0,693,0,0,0%,100%,0%,0%
09/03/2020,1,705,0,0,0%,100%,0%,0%
10/03/2020,2,715,0,0,0%,100%,0%,0%
11/03/2020,6,735,0,0,1%,99%,0%,0%
12/03/2020,1,764,0,0,0%,100%,0%,0%
13/03/2020,4,773,0,0,1%,99%,0%,0%
14/03/2020,4,784,0,0,1%,99%,0%,0%
15/03/2020,2,798,0,0,0%,100%,0%,0%
16/03/2020,0,806,0,0,0%,100%,0%,0%
17/03/2020,2,818,0,0,0%,100%,0%,0%
18/03/2020,0,825,0,0,0%,100%,0%,0%
19/03/2020,2,833,0,0,0%,100%,0%,0%
20/03/2020,2,852,0,0,0%,100%,0%,0%
21/03/2020,4,864,0,0,0%,100%,0%,0%
22/03/2020,5,875,0,0,1%,99%,0%,0%
23/03/2020,4,889,0,0,0%,100%,0%,0%
24/03/2020,2,906,0,0,0%,100%,0%,0%
25/03/2020,4,919,0,0,0%,100%,0%,0%
26/03/2020,2,940,0,0,0%,100%,0%,0%
27/03/2020,2,951,0,0,0%,100%,0%,0%
28/03/2020,5,975,0,0,1%,99%,0%,0%
29/03/2020,3,995,0,0,0%,100%,0%,0%
30/03/2020,2,1012,0,0,0%,100%,0%,0%
31/03/2020,3,1029,0,0,0%,100%,0%,0%
01/04/2020,3,1050,0,0,0%,100%,0%,0%
02/04/2020,5,1068,0,0,0%,100%,0%,0%
03/04/2020,2,1083,0,0,0%,100%,0%,0%
04/04/2020,1,1105,0,0,0%,100%,0%,0%
05/04/2020,1,1119,0,0,0%,100%,0%,0%
06/04/2020,4,1133,0,0,0%,100%,0%,0%
07/04/2020,4,1158,0,0,0%,100%,0%,0%
08/04/2020,4,1176,0,0,0%,100%,0%,0%
09/04/2020,12,1228,0,0,1%,99%,0%,0%
10/04/2020,9,1278,0,0,1%,99%,0%,0%
11/04/2020,4,1305,0,0,0%,100%,0%,0%
12/04/2020,4,1331,0,0,0%,100%,0%,0%
13/04/2020,1,1354,0,0,0%,100%,0%,0%
14/04/2020,2,1376,0,0,0%,100%,0%,0%
15/04/2020,1,1399,0,0,0%,100%,0%,0%
16/04/2020,7,1420,0,0,0%,100%,0%,0%
17/04/2020,4,1438,0,0,0%,100%,0%,0%
18/04/2020,1,1452,0,0,0%,100%,0%,0%
19/04/2020,3,1467,0,0,0%,100%,0%,0%
20/04/2020,1,1481,0,0,0%,100%,0%,0%
21/04/2020,1,1493,0,0,0%,100%,0%,0%
22/04/2020,3,1504,0,0,0%,100%,0%,0%
23/04/2020,1,1524,0,0,0%,100%,0%,0%
24/04/2020,1,1547,0,0,0%,100%,0%,0%
25/04/2020,3,1566,0,0,0%,100%,0%,0%
26/04/2020,0,1581,0,0,0%,100%,0%,0%
27/04/2020,1,1599,0,0,0%,100%,0%,0%
28/04/2020,6,1610,0,0,0%,100%,0%,0%
29/04/2020,2,1635,0,0,0%,100%,0%,0%
30/04/2020,4,1660,0,0,0%,100%,0%,0%
01/05/2020,8,1680,0,0,0%,100%,0%,0%
02/05/2020,8,1705,0,0,0%,100%,0%,0%
03/05/2020,7,1729,0,0,0%,100%,0%,0%
04/05/2020,5,1765,0,0,0%,100%,0%,0%
05/05/2020,5,1800,0,0,0%,100%,0%,0%
06/05/2020,7,1832,0,0,0%,100%,0%,0%
07/05/2020,11,1866,0,0,1%,99%,0%,0%
08/05/2020,19,1919,0,0,1%,99%,0%,0%
09/05/2020,6,1969,0,0,0%,100%,0%,0%
10/05/2020,8,2008,0,0,0%,100%,0%,0%
11/05/2020,7,2045,0,0,0%,100%,0%,0%
12/05/2020,6,2081,0,0,0%,100%,0%,0%
13/05/2020,21,2161,0,0,1%,99%,0%,0%
14/05/2020,16,2246,0,0,1%,99%,0%,0%
15/05/2020,14,2317,0,0,1%,99%,0%,0%
16/05/2020,14,2367,0,0,1%,99%,0%,0%
17/05/2020,7,2430,0,0,0%,100%,0%,0%
18/05/2020,0,2466,0,0,0%,100%,0%,0%
19/05/2020,2,2495,0,0,0%,100%,0%,0%
20/05/2020,7,2508,0,0,0%,100%,0%,0%
21/05/2020,3,2535,0,0,0%,100%,0%,0%
22/05/2020,0,2554,0,0,0%,100%,0%,0%
23/05/2020,6,2574,0,0,0%,100%,0%,0%
24/05/2020,3,2596,0,0,0%,100%,0%,0%
25/05/2020,2,2612,0,0,0%,100%,0%,0%
26/05/2020,4,2632,0,0,0%,100%,0%,0%
27/05/2020,0,2654,0,0,0%,100%,0%,0%
28/05/2020,1,2682,0,0,0%,100%,0%,0%
29/05/2020,2,2709,0,0,0%,100%,0%,0%
30/05/2020,4,2746,0,0,0%,100%,0%,0%
31/05/2020,4,2781,0,0,0%,100%,0%,0%
01/06/2020,5,2803,0,0,0%,100%,0%,0%
02/06/2020,1,2822,0,0,0%,100%,0%,0%
03/06/2020,2,2847,0,0,0%,100%,0%,0%
04/06/2020,2,2874,0,0,0%,100%,0%,0%
05/06/2020,3,2904,0,0,0%,100%,0%,0%
06/06/2020,7,2928,0,0,0%,100%,0%,0%
07/06/2020,5,2952,0,0,0%,100%,0%,0%
08/06/2020,2,2979,0,0,0%,100%,0%,0%
09/06/2020,6,3013,0,0,0%,100%,0%,0%
10/06/2020,5,3039,0,0,0%,100%,0%,0%
11/06/2020,3,3066,0,0,0%,100%,0%,0%
12/06/2020,8,3098,0,0,0%,100%,0%,0%
13/06/2020,4,3133,0,0,0%,100%,0%,0%
14/06/2020,2,3157,0,0,0%,100%,0%,0%
15/06/2020,5,3189,0,0,0%,100%,0%,0%
16/06/2020,3,3213,0,0,0%,100%,0%,0%
17/06/2020,6,3247,0,0,0%,100%,0%,0%
18/06/2020,16,3329,0,0,0%,100%,0%,0%
19/06/2020,19,3423,0,0,1%,99%,0%,0%
20/06/2020,12,3532,0,0,0%,100%,0%,0%
21/06/2020,31,3629,0,0,1%,99%,0%,0%
22/06/2020,10,3743,0,0,0%,100%,0%,0%
23/06/2020,0,3779,0,0,0%,100%,0%,0%
24/06/2020,5,3801,0,0,0%,100%,0%,0%
25/06/2020,3,3841,0,0,0%,100%,0%,0%
26/06/2020,5,3878,0,0,0%,100%,0%,0%
27/06/2020,3,3902,0,0,0%,100%,0%,0%
28/06/2020,3,3930,0,0,0%,100%,0%,0%
29/06/2020,4,3966,0,0,0%,100%,0%,0%
30/06/2020,2,3995,0,0,0%,100%,0%,0%
01/07/2020,3,4027,0,0,0%,100%,0%,0%
02/07/2020,5,4054,4,0,0%,100%,0%,0%
03/07/2020,2,4080,7,0,0%,100%,0%,0%
04/07/2020,4,4096,11,0,0%,100%,0%,0%
05/07/2020,5,4121,14,0,0%,100%,0%,0%
06/07/2020,1,4144,18,0,0%,100%,0%,0%
07/07/2020,4,4175,24,0,0%,99%,1%,0%
08/07/2020,6,4213,32,0,0%,99%,1%,0%
09/07/2020,7,4262,40,0,0%,99%,1%,0%
10/07/2020,6,4321,47,0,0%,99%,1%,0%
11/07/2020,6,4353,55,0,0%,99%,1%,0%
12/07/2020,7,4396,64,0,0%,98%,1%,0%
13/07/2020,5,4424,68,0,0%,98%,2%,0%
14/07/2020,4,4463,77,0,0%,98%,2%,0%
15/07/2020,8,4484,88,0,0%,98%,2%,0%
16/07/2020,2,4522,103,0,0%,98%,2%,0%
17/07/2020,3,4557,108,0,0%,98%,2%,0%
18/07/2020,6,4587,115,0,0%,97%,2%,0%
19/07/2020,3,4621,128,0,0%,97%,3%,0%
20/07/2020,4,4619,132,0,0%,97%,3%,0%
21/07/2020,5,4639,150,0,0%,97%,3%,0%
22/07/2020,3,4675,166,0,0%,97%,3%,0%
23/07/2020,3,4693,173,0,0%,96%,4%,0%
24/07/2020,0,4707,184,0,0%,96%,4%,0%
25/07/2020,2,4736,202,0,0%,96%,4%,0%
26/07/2020,5,4764,207,0,0%,96%,4%,0%
27/07/2020,4,4784,213,0,0%,96%,4%,0%
28/07/2020,4,4807,225,0,0%,95%,4%,0%
29/07/2020,2,4817,232,0,0%,95%,5%,0%
30/07/2020,1,4831,247,0,0%,95%,5%,0%
31/07/2020,3,4834,256,0,0%,95%,5%,0%
01/08/2020,2,4837,269,0,0%,95%,5%,0%
02/08/2020,2,4853,278,0,0%,95%,5%,0%
03/08/2020,3,4863,284,0,0%,94%,6%,0%
04/08/2020,3,4862,289,0,0%,94%,6%,0%
05/08/2020,4,4888,306,0,0%,94%,6%,0%
06/08/2020,3,4912,315,0,0%,94%,6%,0%
07/08/2020,2,4923,320,0,0%,94%,6%,0%
08/08/2020,3,4936,338,0,0%,94%,6%,0%
09/08/2020,3,4943,345,0,0%,93%,7%,0%
10/08/2020,4,4959,350,0,0%,93%,7%,0%
11/08/2020,4,4990,355,0,0%,93%,7%,0%
12/08/2020,2,5004,364,0,0%,93%,7%,0%
13/08/2020,5,5026,379,0,0%,93%,7%,0%
14/08/2020,5,5040,402,0,0%,93%,7%,0%
15/08/2020,3,5060,419,0,0%,92%,8%,0%
16/08/2020,2,5069,427,0,0%,92%,8%,0%
